id,lat,lng,neighborhood,zip,property_type,parcel_size,zoning,crime_trend,permit_activity,income,population_growth,crime_history,permit_history,population_history,transit_distance,crime_count_nearby,violent_crime_count_nearby,permit_count_nearby,nearest_station,transit_stop_count_nearby,features_crimeTrend,features_permitGrowth,features_transitScore,features_incomeScore,features_populationGrowth,scores_investmentScore,scores_growthScore,scores_riskScore,scores_finalScore,forecast_scores_1y,forecast_scores_3y,forecast_scores_5y,forecast_crime_forecast,forecast_permit_forecast,forecast_population_forecast,current_population,population_growth_1y,population_growth_3y,median_age,pct_age_18_24,pct_age_25_34,pct_age_35_54,pct_age_55_plus,zip_median_household_income,community_median_household_income,community_per_capita_income,household_income_growth_1y,renter_pct,owner_pct,unemployment_rate,hardship_index,poverty_rate,full_address,assessed_value,land_assessed_value,building_assessed_value,assessed_value_year,last_sale_price,last_sale_date,ownership_duration_years,sale_count_known,average_school_rating_nearby,elementary_school_rating_avg,high_school_rating_avg,school_count_nearby,coffee_shop_count_nearby,restaurant_count_nearby,grocery_count_nearby,park_count_nearby,hospital_count_nearby,amenity_density_score,school_poi_count_nearby,hospital_poi_count_nearby,university_poi_count_nearby,office_poi_count_nearby,park_poi_count_nearby,poi_density_score
2563584-20260916,41.8893542519,-87.6241024562,NEAR NORTH SIDE,60611,business_candidate,0,Limited Business License,1.1707,-0.0225,126812,0.0198,"[{""year"": 2022, ""crime_count"": 178, ""violent_crime_count"": 30}, {""year"": 2023, ""crime_count"": 164, ""violent_crime_count"": 46}, {""year"": 2024, ""crime_count"": 166, ""violent_crime_count"": 40}, {""year"": 2025, ""crime_count"": 131, ""violent_crime_count"": 26}]","[{""year"": 2022, ""permit_count"": 212}, {""year"": 2023, ""permit_count"": 247}, {""year"": 2024, ""permit_count"": 350}, {""year"": 2025, ""permit_count"": 300}]","[{""year"": 2021, ""population"": 34562}, {""year"": 2022, ""population"": 35247}]",0.0579,89,27,87,Michigan (Lower) & Hubbard,57,-0.21084337349397592,-0.14285714285714285,0.9452689290103033,0.8067666666666666,0.019819454892656675,87,69,60,84,"{'investmentScore': 89, 'growthScore': 74, 'riskScore': 67, 'finalScore': 84}","{'investmentScore': 91, 'growthScore': 81, 'riskScore': 60, 'finalScore': 89}","{'investmentScore': 93, 'growthScore': 84, 'riskScore': 60, 'finalScore': 90}","{'1y': 125.0, '3y': 97.20000000000073, '5y': 69.40000000000146}","{'1y': 369.0, '3y': 442.3999999999942, '5y': 515.7999999999884}","{'1y': 35932.0, '3y': 37302.0, '5y': 38672.0}",35247,0.0198,0.0554,34.4,0.082,0.282,0.25,0.184,126812,138182,73006,-0.0339,0.698,0.302,0.039,1,0.08,"479 N Dearborn St, CHICAGO, IL, 60611",403541,133099,270442,2026,418860,2018-10-01T00:00:00.000,8.83,3,4.5,5.83,5.0,8,13,45,5,5,2,0.88,2,2,0,3,5,0.75
1904803-20260516,41.8831927007,-87.650962974,NEAR WEST SIDE,60607,business_candidate,0,Limited Business License,0.4545,0.5161,119500,-0.0398,"[{""year"": 2022, ""crime_count"": 46, ""violent_crime_count"": 9}, {""year"": 2023, ""crime_count"": 73, ""violent_crime_count"": 9}, {""year"": 2024, ""crime_count"": 30, ""violent_crime_count"": 2}, {""year"": 2025, ""crime_count"": 40, ""violent_crime_count"": 3}]","[{""year"": 2022, ""permit_count"": 158}, {""year"": 2023, ""permit_count"": 157}, {""year"": 2024, ""permit_count"": 87}, {""year"": 2025, ""permit_count"": 94}]","[{""year"": 2021, ""population"": 29990}, {""year"": 2022, ""population"": 28797}]",0.1082,32,5,47,Madison & Morgan,17,0.3333333333333333,0.08045977011494253,0.9023641941887746,0.7458333333333333,-0.039779926642214074,81,61,94,69,"{'investmentScore': 79, 'growthScore': 60, 'riskScore': 60, 'finalScore': 77}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 60, 'finalScore': 77}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 60, 'finalScore': 77}","{'1y': 32.0, '3y': 19.799999999999272, '5y': 7.599999999998545}","{'1y': 58.5, '3y': 6.099999999998545, '5y': -46.30000000000291}","{'1y': 27604.0, '3y': 25218.0, '5y': 22832.0}",28797,-0.0398,-0.1114,31.0,0.118,0.288,0.253,0.138,119500,129930,48025,0.0554,0.567,0.433,0.056,18,0.143,"835 W Harrison St, CHICAGO, IL, 60607",247540,76447,171093,2026,345199,2021-10-01T00:00:00.000,5.83,1,3.5,4.06,3.4,11,15,30,4,5,2,0.7,1,5,0,2,5,0.81
28592-20260516,41.8880742811,-87.6349552029,NEAR NORTH SIDE,60654,business_candidate,0,Limited Business License,1.2,0.1391,138279,0.0739,"[{""year"": 2022, ""crime_count"": 105, ""violent_crime_count"": 24}, {""year"": 2023, ""crime_count"": 131, ""violent_crime_count"": 33}, {""year"": 2024, ""crime_count"": 113, ""violent_crime_count"": 27}, {""year"": 2025, ""crime_count"": 111, ""violent_crime_count"": 17}]","[{""year"": 2022, ""permit_count"": 317}, {""year"": 2023, ""permit_count"": 291}, {""year"": 2024, ""permit_count"": 299}, {""year"": 2025, ""permit_count"": 295}]","[{""year"": 2021, ""population"": 21859}, {""year"": 2022, ""population"": 23475}]",0.0632,77,21,131,Wells & Merchandise Mart,43,-0.017699115044247787,-0.013377926421404682,0.9405568096313018,0.902325,0.07392835902831786,91,75,69,84,"{'investmentScore': 91, 'growthScore': 75, 'riskScore': 73, 'finalScore': 83}","{'investmentScore': 91, 'growthScore': 74, 'riskScore': 73, 'finalScore': 83}","{'investmentScore': 91, 'growthScore': 74, 'riskScore': 73, 'finalScore': 83}","{'1y': 115.0, '3y': 115.0, '5y': 115.0}","{'1y': 286.0, '3y': 274.39999999999964, '5y': 262.7999999999993}","{'1y': 25091.0, '3y': 28323.0, '5y': 31555.0}",23475,0.0739,0.2069,33.6,0.093,0.301,0.245,0.172,138279,137054,79077,0.0484,0.688,0.312,0.046,1,0.076,"362 N Sedgwick St, CHICAGO, IL, 60654",403144,140636,262508,2026,347011,2015-05-01T00:00:00.000,11.42,3,5.3,4.92,4.0,8,18,52,7,6,3,1.0,2,3,1,3,6,0.94
2677091-20260516,41.88184063,-87.6332550894,LOOP,60602,business_candidate,0,Retail Food Establishment,0.1304,0.0765,167617,-0.1786,"[{""year"": 2022, ""crime_count"": 105, ""violent_crime_count"": 28}, {""year"": 2023, ""crime_count"": 108, ""violent_crime_count"": 26}, {""year"": 2024, ""crime_count"": 105, ""violent_crime_count"": 24}, {""year"": 2025, ""crime_count"": 117, ""violent_crime_count"": 22}]","[{""year"": 2022, ""permit_count"": 458}, {""year"": 2023, ""permit_count"": 420}, {""year"": 2024, ""permit_count"": 431}, {""year"": 2025, ""permit_count"": 385}]","[{""year"": 2021, ""population"": 1142}, {""year"": 2022, ""population"": 938}]",0.0356,52,17,197,Wells & Madison,52,0.11428571428571428,-0.10672853828306264,0.9656237929702587,1.1468083333333334,-0.1786339754816112,84,60,78,74,"{'investmentScore': 85, 'growthScore': 60, 'riskScore': 70, 'finalScore': 77}","{'investmentScore': 84, 'growthScore': 60, 'riskScore': 74, 'finalScore': 75}","{'investmentScore': 84, 'growthScore': 60, 'riskScore': 78, 'finalScore': 74}","{'1y': 117.0, '3y': 123.60000000000036, '5y': 130.20000000000073}","{'1y': 371.5, '3y': 329.90000000000146, '5y': 288.3000000000029}","{'1y': 734.0, '3y': 326.0, '5y': -82.0}",938,-0.1786,-0.5001,35.0,0.079,0.346,0.236,0.154,167617,179234,89199,0.0056,0.857,0.143,0.041,1,0.088,"100 N Dearborn St, CHICAGO, IL, 60602",403556,185672,217884,2026,398459,2022-08-01T00:00:00.000,4.67,3,4.3,4.77,4.0,10,20,61,3,6,1,1.0,1,1,1,4,6,0.81
31153-20260516,41.8860483674,-87.6511329281,NEAR WEST SIDE,60607,business_candidate,0,Limited Business License,0.36,0.7037,119500,-0.0398,"[{""year"": 2022, ""crime_count"": 39, ""violent_crime_count"": 10}, {""year"": 2023, ""crime_count"": 72, ""violent_crime_count"": 9}, {""year"": 2024, ""crime_count"": 29, ""violent_crime_count"": 2}, {""year"": 2025, ""crime_count"": 40, ""violent_crime_count"": 5}]","[{""year"": 2022, ""permit_count"": 144}, {""year"": 2023, ""permit_count"": 158}, {""year"": 2024, ""permit_count"": 83}, {""year"": 2025, ""permit_count"": 105}]","[{""year"": 2021, ""population"": 29990}, {""year"": 2022, ""population"": 28797}]",0.1886,34,7,46,Halsted & Lake,16,0.3793103448275862,0.26506024096385544,0.8413259296651522,0.7458333333333333,-0.039779926642214074,81,63,95,69,"{'investmentScore': 78, 'growthScore': 60, 'riskScore': 62, 'finalScore': 77}","{'investmentScore': 76, 'growthScore': 60, 'riskScore': 60, 'finalScore': 76}","{'investmentScore': 76, 'growthScore': 60, 'riskScore': 60, 'finalScore': 76}","{'1y': 35.0, '3y': 27.0, '5y': 19.0}","{'1y': 74.5, '3y': 36.099999999998545, '5y': -2.3000000000029104}","{'1y': 27604.0, '3y': 25218.0, '5y': 22832.0}",28797,-0.0398,-0.1114,32.9,0.112,0.275,0.256,0.157,119500,111876,46793,0.043,0.657,0.343,0.058,17,0.12,"267 N Throop St, CHICAGO, IL, 60607",362003,179292,182711,2026,234925,2018-10-01T00:00:00.000,8.83,4,3.5,3.75,3.4,5,13,35,5,4,4,0.76,1,3,0,2,4,0.62
2840926-20260516,41.9524438778,-87.6773953526,NORTH CENTER,60613,business_candidate,0,Animal Care License,0.2,0.7143,92238,-0.0248,"[{""year"": 2022, ""crime_count"": 10, ""violent_crime_count"": 2}, {""year"": 2023, ""crime_count"": 11, ""violent_crime_count"": 0}, {""year"": 2024, ""crime_count"": 9, ""violent_crime_count"": 2}, {""year"": 2025, ""crime_count"": 6, ""violent_crime_count"": 1}]","[{""year"": 2022, ""permit_count"": 34}, {""year"": 2023, ""permit_count"": 32}, {""year"": 2024, ""permit_count"": 39}, {""year"": 2025, ""permit_count"": 32}]","[{""year"": 2021, ""population"": 53282}, {""year"": 2022, ""population"": 51961}]",0.1346,6,1,12,Irving Park & Damen/Lincoln,23,-0.3333333333333333,-0.1794871794871795,0.8813678829543451,0.51865,-0.024792612889906536,76,60,60,76,"{'investmentScore': 78, 'growthScore': 63, 'riskScore': 65, 'finalScore': 77}","{'investmentScore': 75, 'growthScore': 60, 'riskScore': 60, 'finalScore': 76}","{'investmentScore': 75, 'growthScore': 60, 'riskScore': 60, 'finalScore': 76}","{'1y': 5.5, '3y': 2.699999999999818, '5y': -0.1000000000003638}","{'1y': 34.5, '3y': 34.69999999999999, '5y': 34.89999999999998}","{'1y': 50640.0, '3y': 47998.0, '5y': 45356.0}",51961,-0.0248,-0.0694,37.6,0.063,0.297,0.286,0.17,92238,102516,43026,0.0495,0.511,0.489,0.033,6,0.072,"1920 W Addison St, CHICAGO, IL, 60613",330924,114201,216723,2026,221620,2013-10-01T00:00:00.000,13.83,3,5.5,6.4,5.6,5,10,26,4,5,0,0.56,1,1,0,2,5,0.56
2446496-20260516,41.9540911429,-87.6753412254,NORTH CENTER,60613,business_candidate,0,Tobacco,-0.1667,-0.2727,92238,-0.0248,"[{""year"": 2022, ""crime_count"": 12, ""violent_crime_count"": 2}, {""year"": 2023, ""crime_count"": 11, ""violent_crime_count"": 1}, {""year"": 2024, ""crime_count"": 7, ""violent_crime_count"": 0}, {""year"": 2025, ""crime_count"": 8, ""violent_crime_count"": 1}]","[{""year"": 2022, ""permit_count"": 38}, {""year"": 2023, ""permit_count"": 30}, {""year"": 2024, ""permit_count"": 30}, {""year"": 2025, ""permit_count"": 30}]","[{""year"": 2021, ""population"": 53282}, {""year"": 2022, ""population"": 51961}]",0.1681,5,1,8,Irving Park & Hermitage,15,0.14285714285714285,0.0,0.856091088091773,0.51865,-0.024792612889906536,77,62,80,71,"{'investmentScore': 76, 'growthScore': 61, 'riskScore': 60, 'finalScore': 77}","{'investmentScore': 73, 'growthScore': 60, 'riskScore': 60, 'finalScore': 75}","{'investmentScore': 72, 'growthScore': 60, 'riskScore': 60, 'finalScore': 75}","{'1y': 5.5, '3y': 2.300000000000182, '5y': -0.8999999999996362}","{'1y': 26.0, '3y': 21.199999999999818, '5y': 16.399999999999636}","{'1y': 50640.0, '3y': 47998.0, '5y': 45356.0}",51961,-0.0248,-0.0694,36.0,0.052,0.298,0.271,0.167,92238,82358,44490,-0.0333,0.447,0.553,0.031,6,0.058,"1877 W Irving Park Rd, CHICAGO, IL, 60613",273036,75573,197463,2026,297495,2019-03-01T00:00:00.000,7.25,3,6.4,7.04,5.0,9,13,15,4,3,0,0.44,2,1,0,4,3,0.62
2967376-20260516,41.9448215398,-87.6638091163,LAKE VIEW,60657,business_candidate,0,Limited Business License,1.1667,0.5882,105428,-0.0128,"[{""year"": 2022, ""crime_count"": 27, ""violent_crime_count"": 1}, {""year"": 2023, ""crime_count"": 32, ""violent_crime_count"": 4}, {""year"": 2024, ""crime_count"": 25, ""violent_crime_count"": 5}, {""year"": 2025, ""crime_count"": 30, ""violent_crime_count"": 9}]","[{""year"": 2022, ""permit_count"": 49}, {""year"": 2023, ""permit_count"": 36}, {""year"": 2024, ""permit_count"": 35}, {""year"": 2025, ""permit_count"": 44}]","[{""year"": 2021, ""population"": 72113}, {""year"": 2022, ""population"": 71192}]",0.1524,26,10,27,Addison & Southport,20,0.2,0.2571428571428571,0.8677542519958347,0.6285666666666667,-0.012771622314977882,81,68,84,74,"{'investmentScore': 80, 'growthScore': 63, 'riskScore': 68, 'finalScore': 76}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 69, 'finalScore': 74}","{'investmentScore': 75, 'growthScore': 60, 'riskScore': 70, 'finalScore': 73}","{'1y': 29.0, '3y': 29.399999999999977, '5y': 29.799999999999955}","{'1y': 37.0, '3y': 33.80000000000018, '5y': 30.600000000000364}","{'1y': 70271.0, '3y': 68429.0, '5y': 66587.0}",71192,-0.0128,-0.0358,31.6,0.108,0.386,0.191,0.138,105428,94236,50442,0.0093,0.632,0.368,0.036,5,0.097,"3549 N Sheffield Ave, CHICAGO, IL, 60657",313940,132573,181367,2026,419645,2020-11-01T00:00:00.000,6.92,3,6.1,6.38,5.4,7,19,28,4,6,2,0.74,1,2,1,3,6,0.81
2846138-20260516,41.9614094982,-87.6906584419,LINCOLN SQUARE,60618,business_candidate,0,Limited Business License,0.4,-0.3333,100976,-0.0299,"[{""year"": 2022, ""crime_count"": 8, ""violent_crime_count"": 1}, {""year"": 2023, ""crime_count"": 8, ""violent_crime_count"": 0}, {""year"": 2024, ""crime_count"": 15, ""violent_crime_count"": 1}, {""year"": 2025, ""crime_count"": 17, ""violent_crime_count"": 4}]","[{""year"": 2022, ""permit_count"": 34}, {""year"": 2023, ""permit_count"": 22}, {""year"": 2024, ""permit_count"": 32}, {""year"": 2025, ""permit_count"": 32}]","[{""year"": 2021, ""population"": 95078}, {""year"": 2022, ""population"": 92235}]",0.0657,7,1,10,Montrose & Campbell,18,0.13333333333333333,0.0,0.9383503800319039,0.5914666666666667,-0.029901764866740992,79,61,80,72,"{'investmentScore': 79, 'growthScore': 61, 'riskScore': 85, 'finalScore': 70}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 95, 'finalScore': 66}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 95, 'finalScore': 66}","{'1y': 20.5, '3y': 27.300000000000182, '5y': 34.100000000000364}","{'1y': 31.0, '3y': 31.799999999999955, '5y': 32.59999999999991}","{'1y': 89392.0, '3y': 83706.0, '5y': 78020.0}",92235,-0.0299,-0.0837,35.8,0.072,0.228,0.298,0.196,100976,91233,29038,0.0287,0.509,0.491,0.045,11,0.097,"2549 W Lawrence Ave, CHICAGO, IL, 60618",233947,102050,131897,2026,385627,2017-08-01T00:00:00.000,9.67,2,5.3,5.21,5.1,10,10,21,3,5,0,0.49,1,0,0,3,5,0.56
2712488-20260516,41.9541141437,-87.6546816274,LAKE VIEW,60613,business_candidate,0,Package Goods,0.0,0.125,92238,-0.0248,"[{""year"": 2022, ""crime_count"": 31, ""violent_crime_count"": 5}, {""year"": 2023, ""crime_count"": 22, ""violent_crime_count"": 3}, {""year"": 2024, ""crime_count"": 28, ""violent_crime_count"": 6}, {""year"": 2025, ""crime_count"": 31, ""violent_crime_count"": 6}]","[{""year"": 2022, ""permit_count"": 25}, {""year"": 2023, ""permit_count"": 26}, {""year"": 2024, ""permit_count"": 28}, {""year"": 2025, ""permit_count"": 32}]","[{""year"": 2021, ""population"": 53282}, {""year"": 2022, ""population"": 51961}]",0.0132,14,7,18,Sheridan & Irving Park,37,0.10714285714285714,0.14285714285714285,0.986971969996052,0.51865,-0.024792612889906536,79,64,78,74,"{'investmentScore': 79, 'growthScore': 63, 'riskScore': 67, 'finalScore': 76}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 70, 'finalScore': 74}","{'investmentScore': 77, 'growthScore': 60, 'riskScore': 73, 'finalScore': 73}","{'1y': 29.5, '3y': 30.700000000000045, '5y': 31.90000000000009}","{'1y': 33.5, '3y': 38.100000000000364, '5y': 42.70000000000073}","{'1y': 50640.0, '3y': 47998.0, '5y': 45356.0}",51961,-0.0248,-0.0694,30.2,0.104,0.421,0.205,0.132,92238,98726,56884,0.0383,0.71,0.29,0.036,4,0.09,"1009 W Irving Park Rd, CHICAGO, IL, 60613",271319,144838,126481,2026,289857,2020-03-01T00:00:00.000,6.25,1,5.3,6.73,5.6,9,17,38,5,8,1,0.86,2,2,0,1,8,0.81
